Plate,Well,Line,Day,Analyze,Algorithm,Single_Electrode_Bursts,Min_Surprise,Threshold_Factor,Min_IBI,Min_Electrodes,Burst_Inclusion,Min_Number_Spikes,Max_ISI
11,A1,19-2-2 KO,16,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A1,19-2-2 KO,19,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A1,19-2-2 KO,22,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A1,19-2-2 KO,24,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A1,19-2-2 KO,29,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A1,19-2-2 KO,30,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A1,19-2-2 KO,34,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A1,19-2-2 KO,37,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A1,19-2-2 KO,40,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A1,19-2-2 KO,43,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A1,19-2-2 KO,46,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A1,19-2-2 KO,49,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A1,19-2-2 KO,52,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A1,19-2-2 KO,55,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A1,19-2-2 KO,57,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A1,19-2-2 KO,60,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A1,19-2-2 KO,63,NO,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A2,19-2-2 KO,16,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A2,19-2-2 KO,19,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A2,19-2-2 KO,22,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A2,19-2-2 KO,24,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A2,19-2-2 KO,29,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A2,19-2-2 KO,30,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A2,19-2-2 KO,34,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A2,19-2-2 KO,37,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A2,19-2-2 KO,40,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A2,19-2-2 KO,43,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A2,19-2-2 KO,46,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A2,19-2-2 KO,49,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A2,19-2-2 KO,52,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A2,19-2-2 KO,55,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A2,19-2-2 KO,57,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A2,19-2-2 KO,60,NO,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A2,19-2-2 KO,63,NO,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A3,19-2-2 WT,16,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A3,19-2-2 WT,19,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A3,19-2-2 WT,22,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A3,19-2-2 WT,24,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A3,19-2-2 WT,29,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
11,A3,19-2-2 WT,30,YES,Envelope,Poisson Surprise,3,1.25,100,25,75,NA,NA
