"","Plate","Week","Line","Mean.Firing.Rate.Hz","ISI.Coefficient.of.Variation.Avg","Network.ISI.Coefficient.of.Variation","Weighted.Mean.Firing.Rate.Hz","Burst.Duration.Avg.sec","Burst.Duration.Std.sec","Number.of.Spikes.per.Burst.Avg","Number.of.Spikes.per.Burst.Std","Mean.ISI.within.Burst.Avg.sec","Mean.ISI.within.Burst.Std.sec","Median.ISI.within.Burst.Avg.sec","Inter.Burst.Interval.Avg.sec","Inter.Burst.Interval.Std.sec","Burst.Frequency.Avg.Hz","Burst.Frequency.Std.Hz","Normalized.Duration.IQR.Avg","IBI.Coefficient.of.Variation.Avg","Burst.Percentage.Avg","Network.Burst.Frequency","Network.Burst.Duration.Avg.sec","Network.Burst.Duration.Std.sec","Number.of.Spikes.per.Network.Burst.Avg","Number.of.Spikes.per.Network.Burst.Std","Mean.ISI.within.Network.Burst.Avg.sec","Mean.ISI.within.Network.Burst.Std.sec","Median.ISI.within.Network.Burst.Avg.sec","ISI.CoV.within.Network.Burst.Avg","Network.Burst.Percentage","Network.IBI.Coefficient.of.Variation","Network.Normalized.Duration.IQR","Area.Under.Normalized.Cross.Correlation","Full.Width.at.Half.Height.of.Normalized.Cross.Correlation","Synchrony.Index","Kreuz.SPIKE.Distance","Burst.Peak.Max.Spikes.per.sec","Time.to.Burst.Peak.ms"
"1",11,2,"KO",0.000105,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA
"2",11,2,"KO",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA
"3",11,3,"KO",0.039948,2.046352,1.849043,0.2925,1.614718,1.370551,7.967687,4.985764,0.277111,0.341193,0.177218,52.0194,35.690025,0.025238,0.02834,0.562721,0.617137,20.625453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1e-05,25,0.003154,0.047003,NA,NA
"4",11,3,"KO",0.278073,1.410472,1.199748,1.952963,0.657491,0.534877,6.945887,1.874641,0.113847,0.09146,0.102634,18.994701,17.769105,0.115238,0.103098,0.867682,0.830796,15.413528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001088,36,0.019855,0.04098,NA,NA
"5",11,4,"KO",1.694531,1.623596,1.581693,4.710435,0.961697,2.383166,11.291016,7.885138,0.123401,0.264119,0.057038,42.102197,70.449746,0.14963,0.14339,1.15372,0.799824,23.172953,0.086667,1.28788,0.324526,363.230769,87.905544,0.003758,0.001233,0.002031,1.599905,29.027201,0.67259,0.250501,0.018967,22,0.076543,0.134186,692.307692,474.5
"6",11,4,"KO",2.287552,1.747791,1.882414,7.307,1.381829,3.862432,19.640291,17.682963,0.170454,0.485681,0.157343,15.119126,24.933972,0.173542,0.118243,0.970675,0.725815,22.946832,0.09,1.261864,0.219475,605,70.661163,0.002119,0.000439,0.001046,1.796047,37.191776,0.684043,0.099345,0.023458,68,0.091886,0.149281,925.925926,488.5
"7",11,4,"KO",2.091042,1.909078,1.632066,4.942222,0.904378,2.230454,15.644289,15.162514,0.179943,0.524226,0.14925,19.135871,17.294355,0.081839,0.070832,0.696655,0.797999,33.006729,0.056667,1.287774,0.244116,865.647059,219.120099,0.001642,0.000718,0.000654,2.362194,36.654379,0.768719,0.174811,0.038783,58,0.160806,0.270692,1352.941176,470.5
"8",11,5,"KO",4.25,3.127996,2.847862,7.760762,0.33688,0.225891,37.390155,33.948438,0.026693,0.032702,0.023593,9.469338,4.16572,0.111667,0.052668,0.405922,0.628755,48.628961,0.1,1.095373,0.03959,1757.966667,58.097708,0.000624,2e-05,0.000209,3.380852,64.631127,0.577999,0.036474,0.140442,28,0.336823,0.399408,6033.333333,483.5
"9",11,5,"KO",3.20151,3.57489,3.193467,6.01098,0.311307,0.089012,39.016596,39.118614,0.029281,0.029983,0.02639,25.573338,50.18517,0.075238,0.047453,0.423602,0.55436,51.046676,0.073333,1.192527,0.04676,1970.590909,55.722663,0.000606,2.1e-05,2e-04,3.450742,70.528234,0.429907,0.041846,0.136714,41,0.370247,0.390638,5590.909091,494.5
"10",11,5,"KO",7.048229,3.360466,5.478968,10.996504,0.723826,2.209614,37.692493,39.416611,0.122364,0.447339,0.105323,12.693226,21.42143,0.203964,0.116409,0.311446,0.389375,48.119984,0.283333,0.818731,0.029409,1485.423529,61.843769,0.000552,2.5e-05,0.000161,4.47598,93.301361,0.163936,0.024439,0.211693,27,0.320042,0.540708,6752.941176,342.5
